Response_ID,Q1_Age_Group,Q2_Gender,Q3_Nationality,Q4_Emirate,Q5_Employment,Q6_Income,Q7_Education,Q8_Household,Q9_Cafe_Frequency,Q10_Avg_Spending_Per_Visit_AED,Q11_Visit_Duration,Q12_Primary_Reason,Q13_Preferred_Time,Q14_Alone_Or_Company,Q15_Reading_Frequency,Q16_Books_Per_Year,Q17_Reading_Format,Q18_Favorite_Genres,Q19_Book_Acquisition,Q20_Book_Spending_Monthly_AED,Q21_Coffee_Preferences,Q22_Reading_Beverage,Q23_Ideal_Ambiance,Q24_Food_Preferences,Q25_Visited_Similar_Concept,Q26_What_Attracts,Q27_Book_Access_Model,Q28_Monthly_book_club_membership,Q28_Author_meet_&_greet_events,Q28_Writing_poetry_workshops,Q28_Children's_storytelling_sessions,Q28_Private_reading_pods_rooms,Q28_Co-working_space_with_books,Q28_Take-home_book_subscription,Q28_Coffee_+_book_pairing_recommendations,Q29_Willing_Pay_Coffee_AED,Q30_Total_Spending_Per_Visit_AED,Q31_Consider_Membership,Q32_Membership_Fee_AED,Q33_Premium_Exclusive,Q34_Quality_of_coffee,Q34_Book_collection_size_&_quality,Q34_Ambiance_&_comfort,Q34_Location_convenience,Q34_Price_value,Q35_Free_Time_Activities,Q36_Personality,Q37_Environmental_Consciousness,Q38_Technology_Adoption,Q39_Brand_Loyalty,Q40_Interest_Rating_1to10,Q41_Visit_Likelihood_TARGET,Q42_Expected_Visit_Frequency,Q43_Recommend_To_Others,Q44_Preferred_Location,Q45_Concerns,Q46_Additional_Services_Feedback,Q47_Other_Comments
512,25-34,Male,Western Expat,Abu Dhabi,Homemaker,"5,000 - 10,000",High School or below,"Single, living with roommates",Rarely/Never,30,1-2 hours,Coffee/beverages quality,Afternoon (3-6 PM),Always with company,Occasional reader (1-2 times per week),14,Audiobooks|Newspapers|Physical books (paperback/hardcover),Comics/Graphic Novels|Fiction - Contemporary/Romance|Non-Fiction - Biography/Memoir|Poetry,Borrow from friends/family,49,"Arabic/Turkish Coffee|Hot Chocolate|Non-caffeinated beverages only|Tea (Black, Green, Herbal)",Hot coffee,Individual reading nooks/pods|Minimalist decor|Natural lighting|Soft background music|Vintage/classic decor,"Desserts (cakes, brownies)|Light snacks (cookies, biscuits)|Traditional Arabic sweets","Yes, in UAE",Access to large book collection|Community of like-minded people|Instagram-worthy aesthetics|Quiet environment for reading|Work/study-friendly environment,Digital library access + physical cafe,1,3,1,2,2,4,2,1,30,58,"Yes, definitely",199,10-20 AED,2,5,3,3,4,Arts & crafts|Gaming|Traveling,Balanced (ambivert),Not a priority,Fast follower (adopt after some research),Neutral (try based on mood),8,Definitely will visit,2-3 times per month,Definitely yes,Beach/waterfront locations,No major concerns,N/A,N/A
513,45-54,Female,Arab Expat,Abu Dhabi,Self-employed/Business owner,"35,001 - 50,000",Bachelor's Degree,"Married/Partner, with children (teenagers/adults)",Once a week,49,1-2 hours,Social meetings with friends/colleagues|Work/study in a different environment,Mid-morning (9 AM-12 PM),Both equally,Daily reader (read every day),54,"Audiobooks|E-books (Kindle, tablets)",Fiction - Contemporary/Romance|Fiction - Science Fiction/Fantasy|Non-Fiction - Biography/Memoir|Non-Fiction - History/Politics|Religious/Spiritual,"Free online resources|Online purchase (Amazon, Noon, etc.)",350,"Flavored Coffee (Vanilla, Caramel, Hazelnut)|Hot Chocolate",Tea|Water only,"Bookshelves surrounding|Comfortable seating (sofas, armchairs)|Fireplace or warm elements|Minimalist decor|Vintage/classic decor","Light snacks (cookies, biscuits)|No food, just beverages|Salads|Vegan/Healthy options","No, but interested",Ability to borrow books|Author events/book signings|Community of like-minded people|Quality coffee and food,Membership for book borrowing (take home),4,2,3,3,4,2,4,3,47,99,Probably not,0,21-35 AED,4,2,4,5,3,Reading books|Social media browsing,Somewhat introverted,Somewhat important,Late adopter (adopt when necessary),Very loyal (stick to favorites),8,Probably will visit,Once a week,Probably yes,Mixed-use developments,Limited book selection|Not enough time to utilize,N/A,N/A
514,25-34,Male,Western Expat,Sharjah,Full-time employed,"35,001 - 50,000",Master's Degree,"Single, living with roommates",2-3 times per week,40,Less than 30 minutes (quick coffee),Coffee/beverages quality,Afternoon (3-6 PM)|Lunch time (12-3 PM)|Mid-morning (9 AM-12 PM),Always alone,Daily reader (read every day),50,"E-books (Kindle, tablets)|Magazines",Comics/Graphic Novels|Fiction - Mystery/Thriller|Fiction - Science Fiction/Fantasy,Free online resources,232,"Flavored Coffee (Vanilla, Caramel, Hazelnut)|Tea (Black, Green, Herbal)","Cold beverages (juice, smoothies)",Individual reading nooks/pods|Natural lighting|Quiet/Silent zones|Soft background music,Breakfast items|International cuisine options|Salads|Vegan/Healthy options,"No, but interested","Ability to borrow books|Access to large book collection|Book exchange program|Cozy, comfortable ambiance",Purchase books (bookstore + cafe),5,3,4,5,2,2,4,4,38,77,Probably not,0,21-35 AED,3,5,4,3,2,Outdoor activities/sports|Traveling|Working on personal projects,Balanced (ambivert),Important (consider when possible),Early adopter (love new tech),Variety seeker (always try new places),8,Definitely will visit,2-3 times per month,Definitely yes,Mixed-use developments|Tourist areas,Already have similar options,N/A,N/A
515,45-54,Male,South Asian,Dubai,Full-time employed,"10,001 - 20,000",Doctorate/PhD,"Married/Partner, with children (teenagers/adults)",4-6 times per week,29,30 minutes - 1 hour,Location convenience,Lunch time (12-3 PM)|Weekends only,Mostly with company,Monthly reader (few times a month),8,"E-books (Kindle, tablets)|Physical books (paperback/hardcover)",Fiction - Mystery/Thriller|Non-Fiction - Science/Technology,"E-book subscriptions (Kindle Unlimited, etc.)|Online purchase (Amazon, Noon, etc.)|Purchase from bookstores",38,"Filter/Drip Coffee|Tea (Black, Green, Herbal)","Cold beverages (juice, smoothies)|Hot coffee",Dim/cozy lighting|Minimalist decor|Natural lighting|Outdoor seating option|Quiet/Silent zones|Vintage/classic decor,"Pastries (croissants, muffins)|Sandwiches/Wraps","No, but interested",Ability to borrow books|Instagram-worthy aesthetics|Kids' reading corner|Quality coffee and food,Purchase books (bookstore + cafe),2,1,2,3,1,2,3,3,27,42,Probably not,0,10-20 AED,3,5,5,4,5,Learning new skills/courses|Shopping|Working on personal projects,Balanced (ambivert),Important (consider when possible),Late adopter (adopt when necessary),Somewhat loyal (prefer familiar but open),10,Definitely will visit,2-3 times per month,Definitely yes,Beach/waterfront locations|Business districts,Limited book selection|May be too crowded/noisy,N/A,N/A
516,45-54,Female,South Asian,Ajman,Unemployed,"5,000 - 10,000",Bachelor's Degree,"Married/Partner, no children",Rarely/Never,23,30 minutes - 1 hour,Location convenience,Afternoon (3-6 PM)|Mid-morning (9 AM-12 PM),Always alone,Occasional reader (1-2 times per week),15,"E-books (Kindle, tablets)",Fiction - Science Fiction/Fantasy|Non-Fiction - History/Politics,Borrow from friends/family|Free online resources|Purchase from bookstores,26,Cold Brew/Iced Coffee|Filter/Drip Coffee,Hot coffee|Iced coffee,Bookshelves surrounding|Fireplace or warm elements|Natural lighting,"Desserts (cakes, brownies)|Salads|Sandwiches/Wraps|Vegan/Healthy options","Yes, outside UAE",Book clubs/reading groups|Multilingual book collection|Quality coffee and food|Quiet environment for reading,Combination of above options,2,1,2,3,2,2,3,2,21,35,Definitely not,0,10-20 AED,4,3,5,1,2,Learning new skills/courses|Outdoor activities/sports|Traveling,Somewhat introverted,Very important (influences all decisions),Technology resistant,Neutral (try based on mood),7,Probably will visit,Once a week,Definitely yes,Mixed-use developments|Residential communities,Other,N/A,N/A
517,25-34,Male,Other,Abu Dhabi,Student,"5,000 - 10,000",Other,"Married/Partner, no children",4-6 times per week,19,Less than 30 minutes (quick coffee),Free WiFi,Early morning (6-9 AM)|Lunch time (12-3 PM)|Weekends only,Mostly with company,Occasional reader (1-2 times per week),14,Audiobooks|Physical books (paperback/hardcover),Children's/Young Adult|Fiction - Contemporary/Romance|Fiction - Science Fiction/Fantasy|Poetry,"E-book subscriptions (Kindle Unlimited, etc.)|Free online resources|Purchase from bookstores",23,"Fresh Juices/Smoothies|Specialty Coffee (Flat White, Cortado, Macchiato)",Iced coffee,"Comfortable seating (sofas, armchairs)|Natural lighting|Soft background music",Salads|Sandwiches/Wraps|Traditional Arabic sweets|Vegan/Healthy options,"No, but interested",Access to large book collection|Book clubs/reading groups|Instagram-worthy aesthetics|Kids' reading corner|Work/study-friendly environment,Digital library access + physical cafe,4,4,3,2,2,3,3,2,18,36,Probably not,0,Above 50 AED,1,5,5,2,5,Dining out/cafe hopping|Gaming|Reading books,Balanced (ambivert),Not important,Fast follower (adopt after some research),Very loyal (stick to favorites),9,Definitely will visit,Once a week,Probably yes,Residential communities|Shopping malls,Distance/location inconvenience|No major concerns,N/A,N/A
518,18-24,Female,South Asian,Abu Dhabi,Self-employed/Business owner,"Less than 5,000",Diploma/Vocational Training,"Married/Partner, with children (teenagers/adults)",2-3 times per week,17,1-2 hours,Coffee/beverages quality,Afternoon (3-6 PM)|Night (9 PM onwards),Both equally,Regular reader (3-5 times per week),20,"E-books (Kindle, tablets)",Fiction - Literary|Non-Fiction - Business/Self-Help,"Borrow from friends/family|Online purchase (Amazon, Noon, etc.)|Public libraries",29,"Arabic/Turkish Coffee|Hot Chocolate|Specialty Coffee (Flat White, Cortado, Macchiato)",Hot chocolate|Iced coffee,"Bookshelves surrounding|Comfortable seating (sofas, armchairs)|Greenery/plants|Quiet/Silent zones|Soft background music|Vintage/classic decor","No food, just beverages|Salads|Sandwiches/Wraps|Traditional Arabic sweets","No, but interested","Cozy, comfortable ambiance|Instagram-worthy aesthetics|Multilingual book collection|Quiet environment for reading",Free browsing/reading in-cafe only,2,3,2,4,3,5,4,5,16,26,Maybe,139,0 (Not interested),5,1,3,2,3,Learning new skills/courses|Reading books|Social media browsing,Somewhat extroverted,Important (consider when possible),Mainstream (adopt when widely accepted),Somewhat loyal (prefer familiar but open),9,Probably will visit,Once every few months,Maybe,Mixed-use developments|Street retail/standalone,Distance/location inconvenience,N/A,N/A
519,18-24,Female,Western Expat,Dubai,Part-time employed,"Less than 5,000",Bachelor's Degree,"Single, living alone",Once a month,16,2-3 hours,"Coffee/beverages quality|Relaxation and ""me-time""",Mid-morning (9 AM-12 PM),Mostly with company,Regular reader (3-5 times per week),26,Magazines,Children's/Young Adult|Fiction - Mystery/Thriller,Free online resources|Public libraries|Purchase from bookstores,50,"Arabic/Turkish Coffee|Tea (Black, Green, Herbal)","Cold beverages (juice, smoothies)",Greenery/plants|Outdoor seating option|Quiet/Silent zones,"No food, just beverages|Salads|Traditional Arabic sweets","No, but interested",Ability to borrow books|Quality coffee and food|Quiet environment for reading|Work/study-friendly environment,Free browsing/reading in-cafe only,2,3,2,3,3,1,3,4,16,20,"Yes, definitely",101,21-35 AED,2,4,5,5,4,Reading books|Socializing with friends/family,Somewhat introverted,Not a priority,Late adopter (adopt when necessary),Opportunistic (based on deals/convenience),4,Probably won't visit,Once every few months,Probably not,Beach/waterfront locations,Coffee quality concerns|May be too crowded/noisy,N/A,N/A
520,35-44,Female,Western Expat,Sharjah,Full-time employed,"50,001 - 75,000",Diploma/Vocational Training,"Married/Partner, with children (under 12)",Once a month,66,2-3 hours,Social meetings with friends/colleagues,Afternoon (3-6 PM)|Night (9 PM onwards),Both equally,Monthly reader (few times a month),9,Online articles/blogs,Non-Fiction - Business/Self-Help|Non-Fiction - Science/Technology,Purchase from bookstores,46,"Espresso-based (Cappuccino, Latte, Americano)|Non-caffeinated beverages only|Specialty Coffee (Flat White, Cortado, Macchiato)|Tea (Black, Green, Herbal)",Hot chocolate|Water only,Bookshelves surrounding|Dim/cozy lighting|Outdoor seating option|Soft background music,Sandwiches/Wraps|Traditional Arabic sweets,"No, and not interested",Author events/book signings|Community of like-minded people|Instagram-worthy aesthetics|Work/study-friendly environment,Membership for book borrowing (take home),3,4,1,2,4,4,4,1,67,147,Probably not,0,36-50 AED,2,5,2,5,1,Arts & crafts|Watching movies/series|Working on personal projects,Somewhat extroverted,Somewhat important,Mainstream (adopt when widely accepted),Variety seeker (always try new places),7,Definitely will visit,Once a week,Definitely yes,Beach/waterfront locations|Shopping malls,Distance/location inconvenience,N/A,N/A
521,55+,Female,South Asian,Abu Dhabi,Full-time employed,"35,001 - 50,000",Doctorate/PhD,"Single, living alone",Daily,60,30 minutes - 1 hour,Social meetings with friends/colleagues,Lunch time (12-3 PM),Both equally,Regular reader (3-5 times per week),32,"E-books (Kindle, tablets)",Children's/Young Adult|Non-Fiction - Biography/Memoir,Free online resources,194,Arabic/Turkish Coffee|Cold Brew/Iced Coffee|Fresh Juices/Smoothies|Non-caffeinated beverages only,"Cold beverages (juice, smoothies)","Comfortable seating (sofas, armchairs)|Fireplace or warm elements|Individual reading nooks/pods|Outdoor seating option|Quiet/Silent zones|Vintage/classic decor","Desserts (cakes, brownies)|Vegan/Healthy options","No, but interested",Author events/book signings|Book clubs/reading groups|Book exchange program|Instagram-worthy aesthetics|Multilingual book collection,Combination of above options,4,3,4,3,3,3,5,5,61,120,"Yes, depending on price",252,Above 50 AED,1,5,2,4,4,Outdoor activities/sports|Reading books,Balanced (ambivert),Somewhat important,Mainstream (adopt when widely accepted),Variety seeker (always try new places),9,Definitely will visit,Multiple times per week,Definitely yes,Mixed-use developments|Near universities/schools,Coffee quality concerns|Price might be too high,N/A,N/A
522,25-34,Prefer not to say,UAE National,Dubai,Full-time employed,"20,001 - 35,000",Bachelor's Degree,"Married/Partner, no children",Once a week,37,Less than 30 minutes (quick coffee),Ambiance and interior design|Food quality,Early morning (6-9 AM)|Mid-morning (9 AM-12 PM)|Weekends only,Both equally,Daily reader (read every day),47,Audiobooks|Newspapers|Physical books (paperback/hardcover),Comics/Graphic Novels|Non-Fiction - Biography/Memoir|Non-Fiction - Business/Self-Help|Non-Fiction - History/Politics|Religious/Spiritual,"E-book subscriptions (Kindle Unlimited, etc.)|Free online resources|Purchase from bookstores",267,"Cold Brew/Iced Coffee|Espresso-based (Cappuccino, Latte, Americano)|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Non-caffeinated beverages only",Tea|Water only,Bookshelves surrounding|Dim/cozy lighting|Greenery/plants|Natural lighting,International cuisine options|Sandwiches/Wraps|Vegan/Healthy options,"Yes, in UAE","Access to large book collection|Author events/book signings|Book clubs/reading groups|Community of like-minded people|Cozy, comfortable ambiance|Instagram-worthy aesthetics|Work/study-friendly environment",Membership for book borrowing (take home),5,3,4,5,3,4,4,3,37,80,"Yes, depending on price",312,21-35 AED,5,4,1,2,3,Reading books,Somewhat extroverted,Important (consider when possible),Mainstream (adopt when widely accepted),Somewhat loyal (prefer familiar but open),9,Definitely will visit,Once a week,Maybe,Shopping malls|Tourist areas,Distance/location inconvenience,N/A,N/A
523,35-44,Female,South Asian,Abu Dhabi,Full-time employed,"35,001 - 50,000",Diploma/Vocational Training,"Married/Partner, with children (under 12)",2-3 times per month,60,2-3 hours,Food quality|Work/study in a different environment,Early morning (6-9 AM)|Mid-morning (9 AM-12 PM),Both equally,Rare reader (few times a year),4,"Audiobooks|E-books (Kindle, tablets)",Non-Fiction - History/Politics,"E-book subscriptions (Kindle Unlimited, etc.)|Online purchase (Amazon, Noon, etc.)",13,"Arabic/Turkish Coffee|Cold Brew/Iced Coffee|Fresh Juices/Smoothies|Specialty Coffee (Flat White, Cortado, Macchiato)",Tea,"Bookshelves surrounding|Comfortable seating (sofas, armchairs)|Outdoor seating option|Vintage/classic decor","Desserts (cakes, brownies)|International cuisine options","No, but interested",Community of like-minded people|Kids' reading corner|Multilingual book collection|Quiet environment for reading,Combination of above options,1,1,3,4,2,2,2,2,57,135,Maybe,305,10-20 AED,5,3,2,4,4,Arts & crafts|Dining out/cafe hopping|Socializing with friends/family,Balanced (ambivert),Very important (influences all decisions),Technology resistant,Very loyal (stick to favorites),7,Probably will visit,Once a week,Probably yes,Near universities/schools,Prefer buying books separately|Price might be too high,N/A,N/A
524,45-54,Female,Other,Dubai,Part-time employed,"5,000 - 10,000",Bachelor's Degree,"Single, living alone",Once a week,24,30 minutes - 1 hour,Ambiance and interior design,Afternoon (3-6 PM)|Night (9 PM onwards),Both equally,Occasional reader (1-2 times per week),9,Magazines,Children's/Young Adult|Comics/Graphic Novels|Fiction - Literary|Non-Fiction - Biography/Memoir|Non-Fiction - Science/Technology,Purchase from bookstores,41,"Espresso-based (Cappuccino, Latte, Americano)|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Fresh Juices/Smoothies",Tea|Water only,Greenery/plants|Natural lighting|Soft background music|Vintage/classic decor,"Breakfast items|International cuisine options|Pastries (croissants, muffins)","No, but interested",Author events/book signings|Book clubs/reading groups|Quality coffee and food,Membership for book borrowing (take home),1,1,1,3,1,3,3,2,23,45,Probably not,0,36-50 AED,2,5,3,4,5,Dining out/cafe hopping|Learning new skills/courses|Traveling,Very extroverted (thrive in social settings),Important (consider when possible),Late adopter (adopt when necessary),Neutral (try based on mood),8,Definitely will visit,Once a week,Definitely yes,Mixed-use developments|Tourist areas,Limited book selection|No major concerns,N/A,N/A
525,35-44,Female,Western Expat,Umm Al Quwain,Full-time employed,"50,001 - 75,000",High School or below,"Married/Partner, no children",Daily,59,30 minutes - 1 hour,Free WiFi,Early morning (6-9 AM)|Mid-morning (9 AM-12 PM),Both equally,Rare reader (few times a year),2,"E-books (Kindle, tablets)|Magazines|Online articles/blogs",Comics/Graphic Novels,"Borrow from friends/family|Online purchase (Amazon, Noon, etc.)|Purchase from bookstores",6,"Arabic/Turkish Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Fresh Juices/Smoothies|Tea (Black, Green, Herbal)",I don't drink anything while reading,Bookshelves surrounding|Dim/cozy lighting|Greenery/plants|Minimalist decor|Outdoor seating option,"International cuisine options|Light snacks (cookies, biscuits)|Salads|Sandwiches/Wraps","Yes, outside UAE",Ability to purchase books|Instagram-worthy aesthetics,Combination of above options,2,2,2,4,1,2,1,3,60,111,Maybe,447,0 (Not interested),2,3,5,5,2,Dining out/cafe hopping|Learning new skills/courses|Outdoor activities/sports,Balanced (ambivert),Very important (influences all decisions),Late adopter (adopt when necessary),Somewhat loyal (prefer familiar but open),7,Definitely will visit,Once a week,Probably yes,Mixed-use developments,Limited book selection,N/A,N/A
526,45-54,Male,Western Expat,Abu Dhabi,Homemaker,Prefer not to say,High School or below,"Married/Partner, no children",Once a week,32,30 minutes - 1 hour,"Business meetings|Relaxation and ""me-time""",Afternoon (3-6 PM)|Lunch time (12-3 PM)|Mid-morning (9 AM-12 PM),Both equally,Daily reader (read every day),25,Magazines|Online articles/blogs,Fiction - Contemporary/Romance|Non-Fiction - Biography/Memoir|Non-Fiction - History/Politics|Other|Poetry,"E-book subscriptions (Kindle Unlimited, etc.)|Public libraries",233,"Arabic/Turkish Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Hot Chocolate",Tea,Dim/cozy lighting|Minimalist decor|Vintage/classic decor,"Breakfast items|No food, just beverages|Sandwiches/Wraps","No, and not interested","Ability to borrow books|Ability to purchase books|Cozy, comfortable ambiance|Kids' reading corner|Quality coffee and food|Quiet environment for reading",Membership for book borrowing (take home),4,3,4,5,4,4,4,2,30,64,"Yes, definitely",164,0 (Not interested),1,4,4,4,1,Reading books|Watching movies/series,Somewhat extroverted,Very important (influences all decisions),Mainstream (adopt when widely accepted),Very loyal (stick to favorites),10,Might visit,Once a month,Probably yes,Beach/waterfront locations,Limited book selection|Price might be too high,N/A,N/A
527,55+,Female,South Asian,Dubai,Full-time employed,"20,001 - 35,000",Diploma/Vocational Training,Extended family household,2-3 times per month,37,30 minutes - 1 hour,Coffee/beverages quality,Afternoon (3-6 PM),Mostly with company,Regular reader (3-5 times per week),19,"E-books (Kindle, tablets)|Online articles/blogs",Children's/Young Adult|Fiction - Contemporary/Romance|Fiction - Literary|Non-Fiction - History/Politics|Non-Fiction - Science/Technology,Free online resources,143,"Cold Brew/Iced Coffee|Espresso-based (Cappuccino, Latte, Americano)|Filter/Drip Coffee|Specialty Coffee (Flat White, Cortado, Macchiato)","Cold beverages (juice, smoothies)|Tea",Bookshelves surrounding|Fireplace or warm elements|Individual reading nooks/pods,"Light snacks (cookies, biscuits)|Vegan/Healthy options","No, and not interested",Ability to borrow books|Author events/book signings|Book clubs/reading groups|Kids' reading corner|Quality coffee and food,Combination of above options,4,3,3,2,3,4,3,3,38,67,Maybe,200,10-20 AED,4,5,1,1,1,Socializing with friends/family|Traveling|Working on personal projects,Balanced (ambivert),Very important (influences all decisions),Fast follower (adopt after some research),Somewhat loyal (prefer familiar but open),7,Probably will visit,Once a week,Maybe,Shopping malls,Coffee quality concerns|Prefer buying books separately,N/A,N/A
528,25-34,Female,Western Expat,Sharjah,Full-time employed,"5,000 - 10,000",Doctorate/PhD,"Married/Partner, no children",2-3 times per month,21,More than 3 hours,Free WiFi,Afternoon (3-6 PM)|Evening (6-9 PM),Mostly alone,Daily reader (read every day),50,Magazines,Children's/Young Adult|Fiction - Contemporary/Romance|Fiction - Science Fiction/Fantasy|Other,"E-book subscriptions (Kindle Unlimited, etc.)|Online purchase (Amazon, Noon, etc.)|Purchase from bookstores",123,"Cold Brew/Iced Coffee|Specialty Coffee (Flat White, Cortado, Macchiato)",Iced coffee,Individual reading nooks/pods|Minimalist decor|Natural lighting|Quiet/Silent zones|Vintage/classic decor,"Breakfast items|Desserts (cakes, brownies)|Salads","No, and not interested",Ability to purchase books|Access to large book collection|Book clubs/reading groups|Multilingual book collection,"Book exchange (bring one, take one)",4,3,2,3,3,3,4,5,19,25,"Yes, depending on price",183,21-35 AED,2,2,5,2,1,Learning new skills/courses|Outdoor activities/sports|Working on personal projects,Balanced (ambivert),Somewhat important,Fast follower (adopt after some research),Somewhat loyal (prefer familiar but open),10,Probably will visit,Once a week,Definitely yes,Shopping malls,Already have similar options|May be too crowded/noisy,N/A,N/A
529,18-24,Male,South Asian,Fujairah,Student,"Less than 5,000",Bachelor's Degree,"Single, living alone",2-3 times per month,13,2-3 hours,Free WiFi|Work/study in a different environment,Lunch time (12-3 PM)|Mid-morning (9 AM-12 PM)|Night (9 PM onwards),Mostly alone,Monthly reader (few times a month),11,Audiobooks,Comics/Graphic Novels|Fiction - Science Fiction/Fantasy|Non-Fiction - Biography/Memoir|Non-Fiction - Science/Technology|Religious/Spiritual,Borrow from friends/family|Public libraries,22,"Arabic/Turkish Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Hot Chocolate|Non-caffeinated beverages only",Tea,Dim/cozy lighting|Fireplace or warm elements|Modern/contemporary decor|Soft background music|Vintage/classic decor,"Breakfast items|Light snacks (cookies, biscuits)|Pastries (croissants, muffins)|Sandwiches/Wraps","Yes, outside UAE","Book clubs/reading groups|Cozy, comfortable ambiance|Instagram-worthy aesthetics",Combination of above options,3,2,4,2,3,1,2,1,15,20,Maybe,187,10-20 AED,1,4,2,4,2,Gaming|Socializing with friends/family|Working on personal projects,Balanced (ambivert),Somewhat important,Mainstream (adopt when widely accepted),Somewhat loyal (prefer familiar but open),6,Probably will visit,Multiple times per week,Definitely yes,Residential communities|Tourist areas,Distance/location inconvenience,N/A,N/A
530,25-34,Male,GCC National,Dubai,Homemaker,"20,001 - 35,000",Other,"Married/Partner, no children",2-3 times per week,31,Less than 30 minutes (quick coffee),Business meetings,Evening (6-9 PM)|Night (9 PM onwards),Both equally,Monthly reader (few times a month),4,Magazines,Non-Fiction - Business/Self-Help|Poetry,"E-book subscriptions (Kindle Unlimited, etc.)|Public libraries|Purchase from bookstores",79,"Filter/Drip Coffee|Fresh Juices/Smoothies|Hot Chocolate|Tea (Black, Green, Herbal)",Hot chocolate,Fireplace or warm elements|Greenery/plants|Natural lighting|Outdoor seating option,"Desserts (cakes, brownies)|Light snacks (cookies, biscuits)|Traditional Arabic sweets","No, but interested",Ability to purchase books|Author events/book signings|Instagram-worthy aesthetics|Multilingual book collection|Quiet environment for reading,Free browsing/reading in-cafe only,2,3,4,2,2,1,2,2,30,58,"Yes, depending on price",188,10-20 AED,5,3,1,2,4,Outdoor activities/sports|Shopping|Social media browsing,Balanced (ambivert),Not important,Mainstream (adopt when widely accepted),Somewhat loyal (prefer familiar but open),5,Definitely will visit,Once a week,Definitely yes,Business districts,Price might be too high,N/A,N/A
531,18-24,Female,South Asian,Dubai,Student,"5,000 - 10,000",Master's Degree,"Single, living alone",Once a month,23,1-2 hours,Free WiFi,Afternoon (3-6 PM)|Mid-morning (9 AM-12 PM)|Weekends only,Mostly alone,Daily reader (read every day),39,Audiobooks|Magazines,Fiction - Contemporary/Romance|Fiction - Literary|Fiction - Mystery/Thriller|Non-Fiction - History/Politics|Religious/Spiritual,"Online purchase (Amazon, Noon, etc.)|Public libraries",182,"Flavored Coffee (Vanilla, Caramel, Hazelnut)|Non-caffeinated beverages only|Specialty Coffee (Flat White, Cortado, Macchiato)",Hot coffee|Water only,Minimalist decor|Natural lighting|Soft background music|Vintage/classic decor,"Breakfast items|Desserts (cakes, brownies)","No, but interested","Book exchange program|Cozy, comfortable ambiance|Quiet environment for reading|Work/study-friendly environment",Combination of above options,5,3,3,3,3,3,2,3,23,38,Definitely not,0,21-35 AED,4,4,4,3,1,Dining out/cafe hopping|Reading books,Very extroverted (thrive in social settings),Somewhat important,Fast follower (adopt after some research),Somewhat loyal (prefer familiar but open),9,Definitely will visit,Once a month,Definitely yes,Street retail/standalone|Tourist areas,May be too crowded/noisy,N/A,N/A
532,35-44,Male,South Asian,Dubai,Full-time employed,"50,001 - 75,000",Master's Degree,"Married/Partner, with children (under 12)",2-3 times per week,80,30 minutes - 1 hour,"Coffee/beverages quality|Relaxation and ""me-time""",Early morning (6-9 AM),Both equally,Occasional reader (1-2 times per week),17,Magazines|Newspapers|Physical books (paperback/hardcover),Fiction - Contemporary/Romance|Poetry,"E-book subscriptions (Kindle Unlimited, etc.)",111,"Cold Brew/Iced Coffee|Espresso-based (Cappuccino, Latte, Americano)|Hot Chocolate|Non-caffeinated beverages only",Hot chocolate|Tea,Bookshelves surrounding|Dim/cozy lighting|Individual reading nooks/pods,Breakfast items|Salads|Sandwiches/Wraps|Vegan/Healthy options,"No, and not interested",Book exchange program|Community of like-minded people|Instagram-worthy aesthetics|Quiet environment for reading,Combination of above options,1,2,3,5,2,2,1,3,73,174,"Yes, definitely",282,21-35 AED,3,5,2,2,5,Gaming|Learning new skills/courses|Reading books,Somewhat extroverted,Important (consider when possible),Late adopter (adopt when necessary),Variety seeker (always try new places),10,Might visit,Once a month,Maybe,Business districts|Mixed-use developments,May be too crowded/noisy|Prefer buying books separately|Price might be too high,N/A,N/A
533,35-44,Male,Western Expat,Abu Dhabi,Full-time employed,"35,001 - 50,000",Bachelor's Degree,"Married/Partner, no children",Rarely/Never,41,More than 3 hours,"Coffee/beverages quality|Relaxation and ""me-time""",Mid-morning (9 AM-12 PM),Both equally,Monthly reader (few times a month),5,Magazines|Newspapers,Comics/Graphic Novels|Non-Fiction - Business/Self-Help|Religious/Spiritual,"E-book subscriptions (Kindle Unlimited, etc.)",54,Fresh Juices/Smoothies|Non-caffeinated beverages only,"Cold beverages (juice, smoothies)|Hot coffee","Bookshelves surrounding|Comfortable seating (sofas, armchairs)|Vintage/classic decor","International cuisine options|No food, just beverages|Traditional Arabic sweets","Yes, in UAE",Quiet environment for reading|Work/study-friendly environment,Membership for book borrowing (take home),3,2,2,4,3,2,3,4,40,66,Maybe,345,21-35 AED,1,1,3,1,1,Dining out/cafe hopping|Social media browsing|Working on personal projects,Somewhat introverted,Somewhat important,Mainstream (adopt when widely accepted),Somewhat loyal (prefer familiar but open),8,Definitely will visit,Once a week,Definitely yes,Beach/waterfront locations|Street retail/standalone,Limited book selection|May be too crowded/noisy,N/A,N/A
